id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
65,329367.8728605,202.7644999907352,417,423,0.5006076206214289,0.489283007793768,1.3250615347918457,0.9967425785870072,3d gaze,-3.0810223717447003,-0.8953849025213014,133.38907096380365,329367.8728605 329367.882874 329367.890384 329367.897894 329367.90540349996 329367.90790650004 329367.91041 329367.9154165 329367.920423 329367.9229265 329367.9254295 329367.9279325 329367.930436 329367.9354425 329367.940449 329367.94295249996 329367.94545550004 329367.9479585 329367.950462 329367.95546850003 329367.9579715 329367.96047499997 329367.9629785 329367.977998 329367.98050099995 329367.9830045 329367.9905145 329367.998024 329368.005534 329368.013044 329368.01805049996 329368.02055350004 329368.0230565 329368.02556 329368.03307 329368.035573 329368.0380765 329368.0405795 329368.0430825 329368.0505925 329368.053096 329368.05810250004 329368.06811550003 329368.0706185 329368.075625
66,329368.0781285,172.72499995306134,423,428,0.49889353019458693,0.4650111608783833,0.6369050528813954,0.9945254745719202,3d gaze,-3.4271709304306017,2.0175769832536177,133.1147472683141,329368.0781285 329368.0806315 329368.08313499996 329368.088142 329368.090645 329368.09314849996 329368.09565150004 329368.0981545 329368.100658 329368.1031615 329368.108168 329368.110671 329368.1131745 329368.1156775 329368.1181805 329368.12068399996 329368.1231875 329368.1256905 329368.1281935 329368.13069699996 329368.1332005 329368.1357035 329368.1382065 329368.14071 329368.14321350004 329368.150723 329368.15823249996 329368.1682455 329368.17074900004 329368.1757555 329368.178259 329368.18076250004 329368.1832655 329368.188272 329368.1907755 329368.1932785 329368.19578199997 329368.1982855 329368.2007885 329368.2032915 329368.20579499996 329368.2082985 329368.2108015 329368.2133045 329368.215808 329368.21831150004 329368.2208145 329368.2233175 329368.225821 329368.2283245 329368.2308275 329368.23333049996 329368.235834 329368.2383375 329368.2408405 329368.2433435 329368.2508535
67,329368.3084285,172.725000011269,430,435,0.6186783165759111,0.7199574785406402,1.4522158247243444,0.9229101576749379,3d gaze,24.321821333621866,-32.790829713779516,148.17260347504148,329368.3084285 329368.31093200005 329368.313435 329368.3159385 329368.3184415 329368.32094500004 329368.3234485 329368.328455 329368.33095800004 329368.3334615 329368.3359645 329368.3384675 329368.3484805 329368.350984 329368.35849350004 329368.3660035 329368.36850700004 329368.3735135 329368.3760165 329368.37852 329368.38603 329368.388533 329368.3910365 329368.39353949996 329368.396043 329368.3985465 329368.40605600004 329368.408559 329368.4110625 329368.4135655 329368.416069 329368.4185725 329368.42107549997 329368.4235785 329368.428585 329368.43108849996 329368.43359150004 329368.436095 329368.4385985 329368.4411015 329368.44360450003 329368.446108 329368.4486115 329368.4511145 329368.4536175 329368.456121 329368.45862449997 329368.4611275 329368.4636305 329368.466134 329368.46863749996 329368.47114050004 329368.473644 329368.4761475 329368.4786505 329368.48115350003
68,329368.483657,90.11749998899177,435,438,0.6082861521308008,0.6972183296549711,1.4893549134125117,0.9676243601318761,3d gaze,20.501723897000716,-27.799192439735933,139.75119606597104,329368.483657 329368.4861605 329368.49116700003 329368.4936705 329368.49617349997 329368.50118 329368.5036835 329368.50618649996 329368.50868950004 329368.511193 329368.5136965 329368.5161995 329368.51870250003 329368.523709 329368.5262125 329368.5287155 329368.531219 329368.53372249997 329368.5362255 329368.5387285 329368.541232 329368.54373549996 329368.54623850004 329368.5487415 329368.551245 329368.5537485 329368.55625150003 329368.5587545 329368.561258 329368.5637615 329368.5662645 329368.5687675 329368.57127099996 329368.5737745
69,329368.84663000004,92.62049995595589,446,449,0.5642881126960845,0.48945116505910885,1.3933282849034674,0.808368937337931,3d gaze,10.073465291540016,-0.9193212132877407,133.70293758699012,329368.84663000004 329368.849133 329368.8516365 329368.8541395 329368.85664300004 329368.859146 329368.8616495 329368.8641525 329368.866656 329368.869159 329368.87166249997 329368.8741655 329368.876669 329368.8791725 329368.88167549996 329368.884179 329368.889186 329368.891689 329368.89419250004 329368.8966955 329368.8991985 329368.901702 329368.90420550003 329368.9067085 329368.90921149997 329368.911715 329368.9142185 329368.9167215 329368.91922449996 329368.921728 329368.9242315 329368.9267345 329368.93174100004 329368.9342445 329368.9367475 329368.9392505
70,329368.941754,82.60799996787682,449,451,0.565402386831241,0.4595196628542341,1.464410072324505,0.7872284311231619,3d gaze,10.239678097944932,2.6776411533762827,132.79391769926326,329368.941754 329368.951767 329368.95427 329368.96178 329368.96929000004 329368.9767995 329368.97930300003 329368.9818065 329368.989316 329368.99432249996 329368.996826 329368.9993295 329369.00683900004 329369.0143485 329369.01685200003 329369.0193555 329369.024362
71,329369.04438750003,87.61449996381998,452,454,0.603946734469311,0.47312949637128976,1.1031523661433869,0.8365670467651106,3d gaze,18.839911092886094,1.0833218956757944,137.06431191624995,329369.04438750003 329369.046891 329369.049394 329369.0518975 329369.0544005 329369.056904 329369.05940749997 329369.0619105 329369.0644135 329369.066917 329369.0719235 329369.0744265 329369.07693 329369.0794335 329369.0869435 329369.0944535 329369.1044665 329369.1144795 329369.121989 329369.124492 329369.1269955 329369.132002
72,329369.4524195,182.73800000315532,464,469,0.4828643255285945,0.32226140158114963,1.4412223263616875,0.8387263851263713,3d gaze,-5.681029248783456,16.165426789599017,111.25130078183226,329369.4524195 329369.459929 329369.4624325 329369.46743900003 329369.4699425 329369.47244549997 329369.474949 329369.48245899996 329369.484962 329369.4899685 329369.492472 329369.49497550004 329369.4974785 329369.502485 329369.50498850003 329369.5074915 329369.50999449997 329369.512498 329369.5150015 329369.5175045 329369.52000749996 329369.525014 329369.5300205 329369.53252400004 329369.5350275 329369.54253700003 329369.54754349997 329369.5500465 329369.55255 329369.5550535 329369.55755649996 329369.562563 329369.5675695 329369.57007250004 329369.572576 329369.5750795 329369.5775825 329369.58008600003 329369.5825895 329369.58509249997 329369.587596 329369.5900995 329369.5926025 329369.59510549996 329369.597609 329369.6001125 329369.6026155 329369.6051185 329369.60762200004 329369.6101255 329369.6126285 329369.6151315 329369.61763500003 329369.625145 329369.63265449996 329369.6351575
73,329369.637661,95.12399998493493,470,472,0.4782910299494852,0.3458243675539427,1.3889904703349016,0.7550173335944337,3d gaze,-6.508836055891039,13.849134941952126,112.11466818861494,329369.637661 329369.64517100004 329369.6501775 329369.6526805 329369.6551835 329369.657687 329369.66019049997 329369.665197 329369.6677 329369.67020349996 329369.67270650005 329369.6752095 329369.677713 329369.6877265 329369.69773949997 329369.705249 329369.712759 329369.7152625 329369.71776549995 329369.725275 329369.73028150003 329369.732785
74,329369.817896,80.10449999710545,475,477,0.5090263280748893,0.38407589620710814,1.4822710165014503,0.7437648230791462,3d gaze,-1.1969054402193562,10.46314070522539,118.43759184563902,329369.817896 329369.825406 329369.83291550004 329369.84292850003 329369.8529415 329369.8554445 329369.860451 329369.8654575 329369.867961 329369.87046450004 329369.877974 329369.880477 329369.8829805 329369.88548399997 329369.8879875 329369.8904905 329369.89549699996 329369.8980005
